FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSMUSG00000024985,Tcf7l2,0.15026318990564486,-3.018214844709114,1.4799879619918622e-25,1.3861061291306158,0.6262878827541979,0.2193790690804885,0.3656528583437643,-1.4129161453241925,0.24623850295018665,0.13672958676027402,-2.989584592916984,5.488181290071815e-15,7.25081508979794,4.471510539997867,3.8560748958993816e-81,0.3751543339177339,-1.4097711924001275,0.004687549400587028,0.1267387819202148,-3.0784003707585823,3.036486470304877e-14,0.12371416547055282,-3.0078667417726117,1.514170697866152e-07,0.586159775722851,-0.6964789557512706,1
ENSMUSG00000027833,Shox2,0.014636024990809564,-4.052418802987639,2.0638512229745653e-24,0.15877215660950691,-0.31194877966768386,0.9729041104062215,0.05796935559108459,-1.7138632913951688,0.2247702013719728,0.011260083615551978,-4.161608060243294,1.6999531133221337e-14,1.8232714197820705,5.681236549498154,6.919275732851646e-98,0.03150150895492422,-2.6256549464519323,2.9254597426549175e-05,0.014082086880023863,-3.837069234495924,3.928604197224536e-12,0.01586079044494267,-3.476343500012916,5.945260488504072e-06,0.04727094965506864,-1.8292793130184766,1
ENSMUSG00000064179,Tnnt1,0.03415072497855565,-3.366564074745484,2.2494446568903226e-22,0.1814538932680079,-0.649205805428323,0.5249721674093455,0.04905099319245619,-2.448744750265605,0.011553136819446285,0.07882058530886385,-1.9675883323246808,3.940190217731892e-06,2.302338098859276,4.882917259334352,4.832566672315757e-80,0.17182641248140484,-0.7220420099323344,0.3052235746901735,0.056328347520095454,-2.4375090718360264,1.5009429268980007e-07,0.038065897067862405,-2.856960034815078,2.4650408541296438e-05,0.08508770937912355,-1.5923873219869138,1
ENSMUSG00000032368,Zic1,0.06537424495894939,-3.02809555054931,6.860337928093725e-22,0.8694665719092045,1.2430617825106258,0.0005264940133379586,0.4592956635293625,0.15295584999451317,1,0.08686350217711526,-2.4400434385137357,2.0792299209191657e-09,2.6855914421210403,3.7839047823144805,4.591020243831181e-49,0.1689626389400481,-1.366542959751167,0.011426804827724377,0.03520521720005966,-3.706668966041988,2.402178305236557e-15,0.08882042649167894,-2.282608905696764,0.00022750608442616442,0.23635474827534317,-0.7957437091347168,1
ENSMUSG00000041046,Ramp3,0.20197714487317198,-2.4259796662903246,3.1387128259350155e-18,0.8669463789471489,0.013507551365287779,1,0.3210610463506223,-1.4612175131513816,0.19341261779184132,0.3764085094341661,-1.3317604188747763,0.00042543782496333075,5.6839852452866095,3.8792278381090166,1.3365282031023825e-58,0.30355999538381523,-1.580409055958729,0.0012597910626210133,0.5492013883209307,-0.7296163156043121,0.251575140601273,0.21887890814020883,-2.0480765875694407,0.0002744324527622411,0.4254385468956177,-1.0170692313365235,1
ENSMUSG00000040624,Plekhg1,0.06537424495894939,-2.581214592947995,6.183274732444265e-17,0.1814538932680079,-0.8262998798362036,0.2707204285389009,0.12039789238148338,-1.3750335350191714,0.3751146383511378,0.06756050169331186,-2.367126663015346,7.3273232502257364e-09,2.2347051559307296,4.1963046142211295,2.560326148840716e-63,0.3636992397523069,0.2569807265838664,0.696017747110436,0.06865017354011634,-2.3223617012431688,9.256443802714287e-08,0.15226358827144962,-1.06733488666555,0.1679451661023273,0.15126703889621965,-0.9859918503506155,1
ENSMUSG00000027985,Lef1,0.029272049981619128,-2.8990542910770345,2.679182063102439e-16,0.14869138476128424,-0.23538644252110874,1,0.10256116758422658,-0.7484709258797562,1,0.03217166747300565,-2.5766455595221376,3.2627020152648775e-08,1.4033835657673432,4.704369709763662,8.356119610044382e-70,0.04009282957899446,-2.131439486665165,0.0004270358656142295,0.036965478060062645,-2.35464880599819,1.8351446953978112e-06,0.05709884560179361,-1.6212686328900814,0.02815887348269181,0.07563351944810982,-1.0734546916009546,1
ENSMUSG00000021948,Prkcd,0.28784182481925474,-2.296171078763077,3.952926681894899e-16,0.6199674686656936,-0.9277952772857027,0.1522891917992043,0.4815915695259335,-1.2658546946465934,0.4466476022720096,0.2718505901468977,-2.233343813842209,2.9934557757485253e-09,9.048724155981805,4.707554371106842,2.0556631817548927e-88,0.3207426366319557,-1.8981501184239145,0.00015367013260957963,0.23059417266039078,-2.4583352990388283,8.306454069564663e-10,0.4250691839244635,-1.4735928889968812,0.01789372432382625,0.47270949655068634,-1.2586830174633097,1
ENSMUSG00000030270,Cpne9,0.12294260992280033,-2.1838764793039713,4.791268543294871e-15,0.48891743463879905,0.14175834496871498,0.9976326118533205,0.20958151636776737,-1.119998534604934,0.5978117568136123,0.780162936220387,1.0116603842733882,0.0005821175796658796,1.617554551707741,2.275185015685565,1.2871259662476368e-16,0.07159433853391868,-2.7083591817557857,1.178297964698656e-07,0.40662025866068907,-0.16118795475676695,1,0.2442561728521171,-0.9193565719529451,0.23399382894178625,0.1701754187582471,-1.3589593782384435,1
ENSMUSG00000053279,Aldh1a1,0.22539478485846728,-2.0566020463416113,6.512409011204087e-15,1.204652235862608,0.7707502901556051,0.05930837604544559,1.1014177562306071,0.5829840893515679,0.8899597615206678,0.5324410966782435,-0.5804428413858278,0.304007347519125,2.4122416311181643,2.0224918030055385,2.51223360005866e-13,1.0452773425952129,0.5222127925286567,0.21090449684623913,0.40309973694068313,-1.0114851826129976,0.024618535131757466,0.3870032868566011,-1.0179168936356198,0.1271773909833658,1.2668614507558393,0.7694889872277098,1
ENSMUSG00000039943,Plcb4,0.24295801484743876,-2.0651191976707532,1.6564981217763737e-14,0.9022290804159281,0.1567691006305672,0.9690410839024995,0.5306425627183897,-0.6503209047877443,1,0.8380719376717972,0.040279170003950315,1,4.229876972322856,3.1266987900021164,6.718103829150343e-36,0.25773961872210727,-1.748360923729154,0.0002574263945029141,0.5615232143409515,-0.6162042829060704,0.41913233080543594,0.17446869489436936,-2.3041248253464652,2.5988858744822396e-05,0.2930798878614255,-1.4752324436287814,1
ENSMUSG00000031425,Plp1,9.504634629031731,-1.9209341876737884,2.3154200738624503e-14,38.24896858511883,0.44134455025751507,0.5073070187997367,7.781271192803278,-1.9713999891134835,0.0034770338373832825,8.832731304713702,-1.8988231885980515,1.1535997173028179e-08,39.26374140931003,0.47776841611276577,0.4687449669278212,160.4200024661809,3.2838671266211,9.30435138613259e-42,17.96874285891045,-0.7883370892618187,0.10823795906609453,4.558391173876523,-2.7803162790953304,1.4012303177524372e-08,15.126703889621963,-0.9762766053892582,1
